username,postsCount,followersCount,followsCount,private,verified,account
tamannaahspeaks,2093,25551900,1050,0,1,1
shannu_7,472,2797896,155,0,1,1
allusirish,70,1042923,58,0,1,1
chayakkineni,87,7368504,152,0,1,1
raashiikhanna,1131,10947108,556,0,1,1
nitish_kumar_reddy_7,113,210975,361,0,1,1
varunkonidela7,960,3533333,137,0,1,1
dhanushkraja,143,7223263,81,0,1,1
urstrulymahesh,530,13479971,98,0,1,1
worldofsiddharth,409,1485582,294,0,1,1
jrntr,99,7427958,0,0,1,1
virat.kohli,1682,268149052,297,0,1,1
teddysphotos,2355,47633814,4,0,1,1
anushkasharma,1284,67410557,624,0,1,1
akshaykumar,2255,68245507,6,0,1,1
nazriyafahadh,963,7883177,550,0,1,1
shrutzhaasan,2530,24781073,3193,0,1,1
musicthaman,934,582363,39,0,1,1
beargrylls,3150,7569978,2742,0,1,1
leelavallabha,3,271,238,1,0,1
actor_nikhil,1087,1647847,97,0,1,1
kajalaggarwalofficial,2134,27099656,782,0,1,1
simply_naresh_,0,264,28,0,0,1
sreeram_chintu,2,28,85,0,0,1
krithi.shetty_official,198,7957291,369,0,1,1
keerthysureshofficial,947,17620492,1172,0,1,1
vennalaaa._,0,259,371,1,0,1
klrahul,992,19724932,293,0,1,1
a.revanth_reddy,8,436,712,0,0,1
rider_preethi_9,0,254,266,1,0,1
haneesh_tata,8,451,426,1,0,1
manikantachada,6,508,516,1,0,1
sathvik_narasingoju_3,27,201,582,1,0,1
goutham_vemisetty,10,732,693,1,0,1
teja_peri6,248,18601,437,0,0,1
rezwanalishaik,13,574,600,0,0,1
panja_vaishnav_tej,302,630462,505,0,1,1
sekharmaster,781,2539979,98,0,1,1
fordmustang,137,1020719,0,0,1,1
anupamaparameswaran96,1515,16124786,1211,0,1,1
prasanthvarmaofficial,817,297379,267,0,1,1
sreemukhi,1691,4850852,63,0,1,1
tejasajja123,248,805808,74,0,1,1
dvk_45,5,650,427,1,0,1
rajashekar_nalla_26,0,134,172,1,0,1
actorvijay,20,11015508,0,0,1,1
tripti_dimri,491,5021172,638,0,1,1
aliaabhatt,2048,84160962,535,0,1,1
sonu_sood,2042,27588764,247,0,1,1
monaa_shaik88,0,184,233,1,0,1
nagavamsi19,189,35529,480,0,1,1
actorsatyadev,566,633777,433,0,1,1
malvikasharmaofficial,374,2054201,227,0,1,1
iamvjsunny,97,613934,806,0,1,1
harshachemudu,2240,594618,1363,0,1,1
youtubeindia,3469,4029219,408,0,1,1
pvsindhu1,1205,3739414,337,0,1,1
iamnehashetty,340,1286765,828,0,1,1
hardikpandya93,1694,29552056,345,0,1,1
niharikakonidela,789,2379731,202,0,1,1
bayyasunnyyadav,633,1384231,18,0,1,1
pnavdeep,1231,804971,2129,0,1,1
realpz,1656,11778419,205,0,1,1
siri_7_,293,288165,145,0,0,1
nandu_ramisetty,868,573795,1049,0,1,1
saratendulkar,170,6258633,670,0,1,1
mrunalthakur,2394,11679720,826,0,1,1
saipallavi.senthamarai,195,8743693,77,0,1,1
shraddhakapoor,2009,88999977,860,0,1,1
imsharwanand,426,1390335,15,0,1,1
actorakashpuri,103,187140,103,0,1,1
nandureddy,1,10,0,0,0,1
katrinakaif,1120,80152507,550,0,1,1
aishwaryarajessh,695,3148809,1268,0,1,1
lokeshh.chowdary,8,528,533,1,0,1
uday_u18,0,974,593,1,0,1
harshavardhan0329,15,383,369,1,0,1
fernanda.4ever,404,1530020,2415,0,1,1
samantharuthprabhuoffl,1489,34199768,622,0,1,1
mallesh_yadav9212,44,308,592,0,0,1
sandeep_nadimpalli,802,299522,316,0,1,1
midhuladevabhaktuni,184,19213,67,0,0,1
cristiano,3662,628230364,587,0,1,1
nike,1404,306964762,186,0,1,1
apple,1163,32515604,8,0,1,1
thevamshikurapati,402,189221,982,0,1,1
vishwaksens,1086,1324638,1,0,1,1
ratantata,61,9608793,2,0,1,1
amazondotin,5553,2795896,4,0,1,1
myntra,14084,3833149,303,0,1,1
flipkart,4631,4394498,14,0,1,1
history,3805,7727847,239,0,1,1
myvillageshow_anil,1072,486320,1582,0,1,1
rohitonweb,1104,174094,849,0,1,1
_varsha.dsouza_,178,1748756,259,0,0,1
taylorswift,641,283571874,0,0,1,1
ramnitin_,121,176566,1361,0,1,1
sirihanmanth,1431,926921,519,0,1,1
rajireddy619,405,123375,30,0,0,1
moulitalks,137,606570,1115,0,1,1
swethapvs,2009,1210819,1623,0,1,1
jabardasth_mahidhar,85,36987,63,0,1,1
mehreenpirzadaa,1681,3551911,510,0,1,1
dimplehayathi,378,991262,771,0,1,1
harish2you,843,176929,2523,0,1,1
jetpanja,541,3775309,220,0,1,1
dqsalmaan,716,14137974,885,0,1,1
narendramodi,741,88459023,0,0,1,1
fridaycritics,3815,47828,32,0,0,1
_kalyani333_,986,1275193,652,0,0,1
monie_kaaa,442,405897,95,0,1,1
shahbaz.a77,180,561417,143,0,1,1
nithyamenen,645,4489872,558,0,1,1
ananya.nagalla,356,1525699,0,0,1,1
travishead34,261,343236,856,0,1,1
actorvijaysethupathi,937,8032756,7,0,1,1
jd_unadkat,367,363681,473,0,1,1
patcummins30,498,1796069,605,0,1,1
reliancejio,3406,1032314,29,0,1,1
heinie45,649,275136,720,0,1,1
theapollohospitals,3580,84652,19,0,1,1
fazalhaqfarooqi,291,265203,83,0,1,1
gvkjr,48,23667,1087,0,1,1
mayank.0011,88,193821,111,0,1,1
khaby00,500,80941068,948,0,1,1
washisundar555,574,1713677,537,0,1,1
jbairstow21,578,861056,1003,0,1,1
kiran_abbavaram,146,1262949,0,0,1,1
punjabkingsipl,16297,3306215,95,0,1,1
tripathirahul52,81,323776,118,0,1,1
lucknowsupergiants,5146,3245431,94,0,1,1
blackcapsnz,9367,1734869,651,0,1,1
rajasthanroyals,14474,4128309,235,0,1,1
nupurnagar,246,283962,149,0,1,1
aidenmarkram,192,451720,1121,0,1,1
chennaiipl,15679,15465326,225,0,1,1
abhisheksharma_4,253,370341,408,0,1,1
delhicapitals,21035,3872692,135,0,1,1
icc,46015,30100396,238,0,1,1
iplt20,12906,10101507,57,0,1,1
gautamgambhir55,974,8810072,98,0,1,1
starsportsindia,17381,5945771,82,0,1,1
imbhuvi,200,4373770,85,0,1,1
gujarat_titans,7338,4100457,59,0,1,1
mumbaiindians,24529,13654714,238,0,1,1
kkriders,17057,5389717,100,0,1,1
rinkukumar12,1020,3207287,403,0,1,1
sunilnarine24,876,480416,787,0,1,1
royalchallengers.bengaluru,21622,13683771,99,0,1,1
fitvatsav,519,36999,69,0,1,1
kuldeep_18,1050,3861264,455,0,1,1
nitishrana_official,557,1031430,278,0,1,1
